Run_ID,iperf_localhost_gbps,sysbench_cpu_single_eps,sysbench_cpu_multi_eps,stress_ng_cpu_bogo_ops_s,fractal_time_s,kernel_compile_time_s,sysbench_mem_read_mib_s,sysbench_mem_write_mib_s,mbw_memcpy_avg_mib_s,mbw_dumb_avg_mib_s,dd_read_speed,dd_read_unit,dd_write_speed,dd_write_unit,fio_rand_4k_read_iops,fio_rand_4k_read_bw_mib,fio_rand_4k_read_lat_ms,fio_rand_4k_write_iops,fio_rand_4k_write_bw_mib,fio_rand_4k_write_lat_ms,fio_seq_rw_read_iops,fio_seq_rw_read_bw_mib,fio_seq_rw_read_lat_ms,fio_seq_rw_write_iops,fio_seq_rw_write_bw_mib,fio_seq_rw_write_lat_ms,fio_mixed_70_30_read_iops,fio_mixed_70_30_read_bw_mib,fio_mixed_70_30_read_lat_ms,fio_mixed_70_30_write_iops,fio_mixed_70_30_write_bw_mib,fio_mixed_70_30_write_lat_ms,iperf_remote_gbps
benchmark_raw_20260414_211749,46.260043332268445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benchmark_raw_20260414_211846,45.63339738175697,1147.42,4362.9,6358.51,107.1316,377.43,32287.36,12283.18,6205.210363636364,10284.707545454545,6.7,GB/s,449.0,MB/s,2994.133431,11.695833206176758,0.23201387910399998,2987.300212,11.669140815734863,0.09905087173699999,133.931101,133.9311008453369,3.6099332621949998,134.897752,134.8977508544922,3.73971743699,4205.996567,16.429673194885254,0.20081908128700002,1805.303245,7.051965713500977,0.081750769562,0.936909530286693
benchmark_raw_20260414_214002,46.6704222567112,1147.55,4362.57,6246.49,110.9691,378.53,32375.57,12833.27,6233.054,10145.895727272728,6.6,GB/s,421.0,MB/s,3261.462309,12.740086555480957,0.219359662432,3258.329028,12.7278470993042,0.084385856094,129.222565,129.22256469726562,3.655682332603,130.222481,130.22248077392578,3.95343071052,4340.344328,16.954469680786133,0.19512785243,1863.635606,7.2798261642456055,0.078353885512,0.9365716163546504
benchmark_raw_20260414_220122,46.84324216684253,1147.29,4363.57,6277.3,104.4101,382.4,32368.6,12179.08,6130.226272727273,10172.835454545455,6.9,GB/s,423.0,MB/s,3060.515658,11.95513916015625,0.22923868437800002,3055.649073,11.936128616333008,0.094383128498,131.162295,131.16229438781738,3.640763760864,131.945602,131.94560146331787,3.865533457244,4602.373294,17.978020668029785,0.186834744473,1977.217046,7.723504066467285,0.06777081389999999,0.936203672394731
benchmark_raw_20260414_222241,46.46313025745052,1147.41,4364.19,6306.48,101.8645,384.51,32373.22,12803.13,6168.515454545454,10085.121545454545,6.5,GB/s,429.0,MB/s,3035.982734,11.859307289123535,0.229766195118,3030.866152,11.839320182800293,0.096388966611,128.781187,128.7811861038208,3.705509233208,129.531174,129.5311737060547,3.947374542975,4471.792137,17.467937469482422,0.190369418312,1919.951334,7.499809265136719,0.07390799990500001,0.9363427613965141
benchmark_raw_20260414_224359,46.84768887073559,1148.07,4363.76,6294.36,102.6587,384.79,32351.99,12941.42,6071.626909090908,10323.649818181819,9.8,GB/s,424.0,MB/s,3199.530008,12.498163223266602,0.223932681391,3194.630089,12.479022979736328,0.085946671005,135.731071,135.73107051849365,3.556879839391,136.681055,136.68105506896973,3.7097180164609997,4163.080615,16.262033462524414,0.20209054249,1786.870219,6.979961395263672,0.084461458643,0.9362225812333846
benchmark_raw_20260414_230516,47.00585373647785,1147.76,4363.43,6309.19,110.718,385.75,32370.57,12936.34,6236.121363636365,10129.146454545455,8.2,GB/s,430.0,MB/s,3174.513758,12.400444030761719,0.224296770551,3168.78052,12.37804889678955,0.08807540352399999,138.893055,138.8930549621582,3.5052434586029997,139.359699,139.35969829559326,3.605300156063,4278.878685,16.714369773864746,0.19859204913599998,1837.169381,7.1764421463012695,0.077711380779,0.9366628252868762
benchmark_raw_20260414_232642,47.33980740036082,1147.34,4363.79,6255.15,109.8127,382.74,32387.31,12799.92,6230.112090909091,10154.023818181819,6.8,GB/s,425.0,MB/s,3364.993917,13.14450740814209,0.216496200775,3364.077265,13.140926361083984,0.078147165426,128.126927,128.12692642211914,3.704606284599,128.79356,128.79356002807617,3.983638446299,4163.997267,16.265613555908203,0.202022577961,1787.236879,6.981393814086914,0.084408427869,0.9369270933956734
benchmark_raw_20260414_234804,46.17460073058926,1147.27,4363.25,6268.52,103.8855,383.96,32367.68,12187.98,6090.575818181818,10157.467181818181,6.4,GB/s,428.0,MB/s,3300.644989,12.893143653869629,0.219334343301,3297.495042,12.880839347839355,0.081000373838,121.297978,121.29797744750977,3.867424205001,121.9813,121.98129940032959,4.236929559776,4457.459042,17.411949157714844,0.19174321182100001,1913.534774,7.47474479675293,0.072308259663,0.9364670649439355
benchmark_raw_20260415_000923,46.46620121635044,1147.48,4363.7,6344.47,101.9031,387.93,32350.78,12928.66,6030.172,10063.469727272728,6.4,GB/s,438.0,MB/s,2957.967367,11.554559707641602,0.235339905703,2952.634123,11.533726692199707,0.099619505777,127.281212,127.28121185302734,3.814297812361,128.014533,128.01453304290771,3.921765059628,4400.876652,17.1909236907959,0.19333761506000002,1888.935184,7.378652572631836,0.075197534296,0.9362663820711202
