Run_ID,sysbench_cpu_single_eps,sysbench_cpu_multi_eps,stress_ng_cpu_bogo_ops_s,fractal_time_s,kernel_compile_time_s,sysbench_mem_read_mib_s,sysbench_mem_write_mib_s,mbw_memcpy_avg_mib_s,mbw_dumb_avg_mib_s,dd_read_speed,dd_read_unit,dd_write_speed,dd_write_unit,fio_rand_4k_read_iops,fio_rand_4k_read_bw_mib,fio_rand_4k_read_lat_ms,fio_rand_4k_write_iops,fio_rand_4k_write_bw_mib,fio_rand_4k_write_lat_ms,fio_seq_rw_read_iops,fio_seq_rw_read_bw_mib,fio_seq_rw_read_lat_ms,fio_seq_rw_write_iops,fio_seq_rw_write_bw_mib,fio_seq_rw_write_lat_ms,fio_mixed_70_30_read_iops,fio_mixed_70_30_read_bw_mib,fio_mixed_70_30_read_lat_ms,fio_mixed_70_30_write_iops,fio_mixed_70_30_write_bw_mib,fio_mixed_70_30_write_lat_ms,iperf_localhost_gbps,iperf_remote_gbps
benchmark_raw_20260415_082331,1292.97,4911.99,6219.5,119.1973,382.99,32284.44,12853.75,6488.646363636363,10159.759909090908,9.3,GB/s,432.0,MB/s,4856.469059,18.970582008361816,0.173561903803,4854.419093,18.962574005126953,0.031033762989999998,151.175775,151.17577362060547,3.331900598611,151.375765,151.37576389312744,3.202215481449,5933.767771,23.17877960205078,0.15419664673400002,2550.824153,9.964156150817871,0.031152533904,48.63394737282058,0.936254033464356
benchmark_raw_20260415_085323,1293.25,4912.4,6206.36,113.2498,387.48,32321.58,12835.44,6505.203727272727,10147.368818181818,9.0,GB/s,433.0,MB/s,4702.40496,18.3687686920166,0.178900090176,4706.554891,18.384979248046875,0.032208316776,144.826092,144.82609176635742,3.4467318626009997,144.742763,144.7427625656128,3.3678274271729998,5684.805253,22.206270217895508,0.160563430013,2443.425943,9.544631958007812,0.032750563257,49.089235832597346,0.935572399216548
benchmark_raw_20260415_091504,1292.96,4912.61,6241.06,116.2828,386.26,32288.75,12864.28,6309.855545454545,10030.828545454546,8.9,GB/s,434.0,MB/s,4736.37106,18.50144863128662,0.177361134485,4739.587674,18.51401424407959,0.032125505429,147.428419,147.42841815948486,3.382994743274,147.528416,147.52841567993164,3.314568839019,5803.303278,22.669153213500977,0.157204797906,2496.025066,9.750097274780273,0.032270604418,49.07353369370177,0.935951106686755
benchmark_raw_20260415_093646,1291.66,4909.86,6213.45,118.337,386.7,32279.3,12798.06,6341.0881818181815,10068.318909090909,9.1,GB/s,437.0,MB/s,4698.288362,18.352688789367676,0.17923525898700002,4702.138298,18.367727279663086,0.032088699963999996,147.630873,147.63087272644043,3.3713060439149998,147.797537,147.79753589630127,3.3113052078260004,5655.822403,22.093055725097656,0.16183984096,2431.109482,9.49652099609375,0.032146265025,48.6313755000122,0.93608554442268
benchmark_raw_20260415_095831,1291.84,4911.37,6199.78,114.2944,382.41,32286.17,12846.12,6463.972272727274,10092.837545454546,9.2,GB/s,435.0,MB/s,4737.02105,18.50398826599121,0.176583712398,4740.021,18.51570701599121,0.032768948102000005,150.21166,150.21165943145752,3.345917423056,150.078331,150.07833003997803,3.224811546252,5816.786387,22.721821784973145,0.156987486624,2501.508308,9.771516799926758,0.032234369271,48.34128829158697,0.9366748129970535
benchmark_raw_20260415_102008,1293.1,4913.29,6205.62,118.8225,384.68,32286.7,12858.31,6497.091818181818,10116.455272727273,9.1,GB/s,445.0,MB/s,4730.404493,18.47814178466797,0.17752981219,4734.604423,18.494547843933105,0.032182645756,147.580874,147.58087348937988,3.411297482891,147.797537,147.79753589630127,3.2745975723950003,5683.20528,22.20001983642578,0.161260627675,2442.659289,9.541637420654297,0.031682593469,48.82485221718418,0.9365214965215972
benchmark_raw_20260415_104156,1292.1,4910.36,6175.09,110.0813,385.02,32296.43,12821.57,6327.975,10165.803454545456,9.0,GB/s,439.0,MB/s,4775.870402,18.65574359893799,0.17660048078,4778.037033,18.664206504821777,0.031380948240000005,146.935306,146.93530559539795,3.4455599026879997,146.985301,146.98530101776123,3.274614881633,5801.803303,22.663293838500977,0.15762117337999998,2495.425076,9.747754096984863,0.031861226043,49.2826617200692,0.936092750889803
benchmark_raw_20260415_110330,1291.88,4911.5,6220.59,112.0986,384.97,32265.17,12848.15,6502.882181818181,10140.607636363637,9.2,GB/s,436.0,MB/s,4713.554774,18.412322998046875,0.17872986814800002,4716.904718,18.425408363342285,0.031808020709,146.390241,146.39023971557617,3.4269477260929997,146.306913,146.30691242218018,3.319774161066,5736.037733,22.406396865844727,0.15934048995,2466.442226,9.634539604187012,0.032394839799,48.853143327828,0.9355550011817546
benchmark_raw_20260415_112507,1291.91,4910.78,6239.24,113.4701,383.32,32284.51,12765.75,6412.009909090909,10075.13381818182,9.5,GB/s,440.0,MB/s,4751.754137,18.561538696289062,0.176348356452,4753.904102,18.569937705993652,0.032418768927,146.576005,146.5760040283203,3.414172710404,146.559339,146.5593385696411,3.325937799977,5811.336478,22.700532913208008,0.15727215509099998,2499.058349,9.761945724487305,0.031886315934,48.7263047770289,0.9362344687621512
benchmark_raw_20260415_114644,1291.47,4909.28,6232.79,117.3318,382.06,32059.98,12605.32,6355.482,10082.831909090908,9.1,GB/s,441.0,MB/s,4683.755271,18.295918464660645,0.179659380557,4687.305212,18.309785842895508,0.032174601686000004,149.328356,149.32835483551025,3.3817583853790003,149.061698,149.0616970062256,3.235943119521,5741.287645,22.426904678344727,0.15934944447799998,2468.642189,9.643133163452148,0.031934124142,49.34722604643536,0.936046030769969
