Run_ID,sysbench_cpu_single_eps,sysbench_cpu_multi_eps,stress_ng_cpu_bogo_ops_s,fractal_time_s,kernel_compile_time_s,sysbench_mem_read_mib_s,sysbench_mem_write_mib_s,mbw_memcpy_avg_mib_s,mbw_dumb_avg_mib_s,dd_read_speed,dd_read_unit,dd_write_speed,dd_write_unit,fio_rand_4k_read_iops,fio_rand_4k_read_bw_mib,fio_rand_4k_read_lat_ms,fio_rand_4k_write_iops,fio_rand_4k_write_bw_mib,fio_rand_4k_write_lat_ms,fio_seq_rw_read_iops,fio_seq_rw_read_bw_mib,fio_seq_rw_read_lat_ms,fio_seq_rw_write_iops,fio_seq_rw_write_bw_mib,fio_seq_rw_write_lat_ms,fio_mixed_70_30_read_iops,fio_mixed_70_30_read_bw_mib,fio_mixed_70_30_read_lat_ms,fio_mixed_70_30_write_iops,fio_mixed_70_30_write_bw_mib,fio_mixed_70_30_write_lat_ms,iperf_localhost_gbps,iperf_remote_gbps
benchmark_raw_20260415_161037,1122.77,4353.78,6428.44,112.3525,378.37,30724.67,11834.85,6223.729363636364,10084.416272727272,9.9,GB/s,638.0,MB/s,968.350527,3.782618522644043,0.699112975629,964.667256,3.7682313919067383,0.322237058102,109.064849,109.06484889984131,6.451112642421,109.648173,109.64817237854004,2.6223249376810003,1084.948584,4.238080024719238,0.7496402197150001,461.508975,1.8027687072753906,0.377705069914,45.64210319258797,0.9368336113628425
benchmark_raw_20260415_163205,1127.18,4354.13,6385.26,120.9064,578.09,22904.24,10052.45,6214.117090909091,10247.18509090909,8.6,GB/s,784.0,MB/s,826.519558,3.2285919189453125,0.805314598524,821.552974,3.2091903686523438,0.392700572402,108.092794,108.09279346466064,6.526609097594999,108.676088,108.67608737945557,2.6286276410059997,1025.516241,4.005922317504883,0.789237302867,436.859386,1.70648193359375,0.409146905425,46.931439047722286,0.936649620430048
benchmark_raw_20260415_164639,1065.42,2196.14,3200.2,115.0381,486.85,15178.66,8273.51,6032.830363636364,9929.335363636363,8.5,GB/s,932.0,MB/s,2685.82235,10.491493225097656,0.309463252347,2685.589083,10.490581512451172,0.060208700579,128.967758,128.96775722503662,6.017316110982,129.900858,129.90085792541504,1.69293518471,3730.171164,14.5709810256958,0.24777541762799998,1603.806603,6.26486873626709,0.043390814236999996,41.63487565993963,0.9255644205541691
benchmark_raw_20260415_165656,1051.49,4037.09,3971.0,121.8876,380.46,30201.93,12590.01,6022.232818181818,9803.775363636365,9.1,GB/s,913.0,MB/s,2530.291162,9.883949279785156,0.326755668476,2532.19113,9.89137077331543,0.064767790725,131.461423,131.46142292022705,6.141929226517999,132.211298,132.2112979888916,1.431440924628,1265.878902,4.944838523864746,0.6493954653339999,540.124331,2.109860420227051,0.308206518175,45.88510889334912,0.9283046224771693
benchmark_raw_20260415_171855,1128.49,4351.43,6339.52,105.6679,379.78,30682.97,12550.84,5991.623636363636,9918.163818181818,6.3,GB/s,996.0,MB/s,894.21843,3.493040084838867,0.75833036303,890.835153,3.4798240661621094,0.347165118033,120.252637,120.25263690948486,6.3794316110030005,120.835902,120.8359022140503,1.8635802809270001,1089.665172,4.256504058837891,0.7468702720670001,463.37561,1.8100605010986328,0.376925764198,47.4058284558854,0.9362674703647004
benchmark_raw_20260415_174013,1123.9,4354.51,6380.38,105.3712,484.36,15743.35,8015.42,5946.5564545454545,10003.185181818182,9.0,GB/s,784.0,MB/s,2729.854502,10.663494110107422,0.31038204726100005,2728.454526,10.658024787902832,0.053154605675,113.898102,113.89810085296631,6.564071881475,114.681422,114.68142127990723,2.124915543671,3732.087799,14.57846736907959,0.24707574581699998,1604.456592,6.26740837097168,0.044769842587,49.53544568487627,0.9306442789158618
benchmark_raw_20260415_174942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.54583578772801,
benchmark_raw_20260415_174947,1059.19,4043.95,4362.94,116.8,563.02,22482.91,10604.3,6131.248090909092,10028.877545454547,9.3,GB/s,717.0,MB/s,2548.724188,9.955953598022461,0.32394369191,2551.274145,9.965913772583008,0.064794862855,129.164514,129.16451358795166,5.976220434839,130.147831,130.14783000946045,1.715861476245,3036.399393,11.860934257507324,0.293161363242,1303.444943,5.091581344604492,0.07900817167,44.10509853075719,0.9357926472465841
benchmark_raw_20260415_180320,1072.17,2198.3,3215.04,123.6943,511.38,15696.7,7655.23,6196.191545454546,10028.841545454545,8.0,GB/s,805.0,MB/s,2515.508075,9.826203346252441,0.323729620063,2518.158031,9.836554527282715,0.070471002925,126.65,126.64999961853027,6.14144532728,127.233333,127.23333263397217,1.711312786089,3548.307528,13.860575675964355,0.258159370039,1525.741238,5.959926605224609,0.051153258668,41.9940778916404,0.9361389036684415
benchmark_raw_20260415_181438,985.75,3768.75,3245.64,112.6343,555.26,22799.4,11730.18,6193.239545454545,10077.052090909092,9.2,GB/s,878.0,MB/s,2567.890535,10.030821800231934,0.32240487314099997,2569.707172,10.037918090820312,0.063399577378,129.043548,129.04354763031006,6.034726764949,130.026832,130.0268316268921,1.670375356447,3206.0299,12.523553848266602,0.28027927727,1375.027083,5.371198654174805,0.06899598074,43.64257361855505,0.9361242921878252
benchmark_raw_20260415_182727,1027.24,2269.84,3213.63,112.674,533.68,15571.9,7420.56,6175.718090909091,10142.077545454546,8.4,GB/s,744.0,MB/s,2544.440926,9.93922233581543,0.324700890096,2547.207547,9.950029373168945,0.064987668459,129.976834,129.97683429718018,5.9905972942690005,130.810126,130.81012535095215,1.659087357753,3325.911235,12.991840362548828,0.27517880144100004,1429.442843,5.5837602615356445,0.05478933038,42.616427148668315,0.9359278984691421
benchmark_raw_20260415_183917,1037.75,3150.74,3253.96,121.8671,542.39,15252.28,8546.83,6158.747909090909,10306.771,6.8,GB/s,642.0,MB/s,2556.357394,9.985770225524902,0.32400610010799996,2558.524025,9.994234085083008,0.06322257454699999,128.684987,128.68498611450195,6.029443204481,129.451564,129.45156383514404,1.694483532312,3382.576957,13.213191032409668,0.268169615906,1453.559107,5.67796516418457,0.059411898435000006,45.308897752485215,0.9331956518609172
benchmark_raw_20260415_185147,1043.99,2684.87,3182.75,112.4981,539.25,15196.02,7450.83,6160.069818181818,10029.490272727273,8.2,GB/s,673.0,MB/s,2577.990367,10.070274353027344,0.323479118876,2579.123681,10.074701309204102,0.061040699787,129.587041,129.58704090118408,6.036124047325,130.603606,130.60360622406006,1.633676952916,3393.643439,13.25641918182373,0.271153027664,1458.39236,5.696845054626465,0.049881687378,43.48041313374814,0.9365092913279707
benchmark_raw_20260415_190356,1040.43,2854.02,3207.0,121.3859,537.28,15978.37,8548.61,5981.7382727272725,10099.623818181819,8.6,GB/s,466.0,MB/s,2558.374027,9.993648529052734,0.324616957532,2560.873985,10.003413200378418,0.062608009235,128.666178,128.6661777496338,5.9885249023439995,129.449407,129.44940662384033,1.7412509738670001,3351.254958,13.090839385986328,0.271299103774,1440.168661,5.62565803527832,0.058296409892,44.65461777471725,0.9367605494246524
