Run_ID,iperf_localhost_gbps,sysbench_cpu_single_eps,sysbench_cpu_multi_eps,stress_ng_cpu_bogo_ops_s,fractal_time_s,fio_rand_4k_read_iops,fio_rand_4k_read_bw_mib,fio_rand_4k_read_lat_ms,fio_rand_4k_write_iops,fio_rand_4k_write_bw_mib,fio_rand_4k_write_lat_ms,fio_seq_rw_read_iops,fio_seq_rw_read_bw_mib,fio_seq_rw_read_lat_ms,fio_seq_rw_write_iops,fio_seq_rw_write_bw_mib,fio_seq_rw_write_lat_ms,fio_mixed_70_30_read_iops,fio_mixed_70_30_read_bw_mib,fio_mixed_70_30_read_lat_ms,fio_mixed_70_30_write_iops,fio_mixed_70_30_write_bw_mib,fio_mixed_70_30_write_lat_ms,kernel_compile_time_s,sysbench_mem_read_mib_s,sysbench_mem_write_mib_s,mbw_memcpy_avg_mib_s,mbw_dumb_avg_mib_s,dd_read_speed,dd_read_unit,dd_write_speed,dd_write_unit,iperf_remote_gbps
benchmark_raw_20260417_141342,49.8889094612346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benchmark_raw_20260417_141430,49.4999440822069,1155.24,4389.06,6450.11,98.0775,4608.189864,18.000741004943848,0.181779271302,4613.739771,18.02242088317871,0.033429300882,150.21166,150.21165943145752,3.368345219128,150.078331,150.07833003997803,3.207224484398,5552.59079,21.689806938171387,0.164510766614,2384.993583,9.316380500793457,0.033584412300000005,,,,,,,,,,
benchmark_raw_20260417_143325,49.228575592485235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benchmark_raw_20260417_143709,49.052287175425654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benchmark_raw_20260417_144322,49.528789004075044,1155.24,4389.08,6533.27,106.3976,4615.089749,18.02769374847412,0.180997428699,4620.106332,18.047289848327637,0.033711298303,143.761875,143.76187419891357,3.4497512016,143.69521,143.69520950317383,3.422128389353,5697.705038,22.256659507751465,0.159826266269,2449.542508,9.568525314331055,0.033551452477999996,408.81,31926.2,12606.56,6484.338727272727,10651.769909090908,9.3,GB/s,435.0,MB/s,0.9374207570230035
benchmark_raw_20260417_151523,49.27214771788532,1155.27,4389.44,6485.18,104.2647,4584.323595,17.90751361846924,0.18305741664800002,4591.17348,17.93427085876465,0.033320058873,149.21418,149.21417903900146,3.3662418858480003,148.947518,148.94751739501953,3.246776895379,5599.523341,21.87313747406006,0.16293243906000002,2406.209897,9.399256706237793,0.033317851574,407.71,31924.28,12603.9,6504.903454545454,10212.266727272727,9.1,GB/s,428.0,MB/s,0.9366687747456115
benchmark_raw_20260417_153714,49.59314797779733,1155.0,4388.67,6506.78,102.082,4693.58844,18.33432960510254,0.177317729369,4697.588374,18.349953651428223,0.033707629816,149.79251,149.7925100326538,3.385338183133,149.509191,149.5091905593872,3.229075197637,5752.904118,22.472281455993652,0.15833258794299998,2474.125431,9.664551734924316,0.033304848063,407.55,31890.33,12775.98,6488.316727272727,10101.634,9.2,GB/s,440.0,MB/s,0.9372026084393082
benchmark_raw_20260417_155902,49.07519385347258,1155.05,4389.62,6505.59,108.1834,4630.472825,18.087783813476562,0.181011117905,4634.956084,18.105297088623047,0.03323234085,146.87599,146.8759889602661,3.415153267446,146.87599,146.8759889602661,3.303913739816,5641.689305,22.037848472595215,0.161567782081,2424.492925,9.470675468444824,0.033511244466,409.69,31879.76,12791.46,6486.4141818181815,10143.593636363636,9.5,GB/s,439.0,MB/s,0.9370979398917256
benchmark_raw_20260417_162057,49.627626706410325,1155.11,4389.22,6502.3,102.6111,4649.60584,18.162522315979004,0.179855046021,4654.039099,18.179840087890625,0.033424759789999994,145.39273,145.3927297592163,3.4167810928469997,145.342733,145.3427324295044,3.364171810916,5718.288029,22.337061882019043,0.159014574239,2458.275695,9.602639198303223,0.033777050278,408.02,31887.14,12596.5,6504.803454545455,10179.802727272727,8.8,GB/s,441.0,MB/s,0.937462335640929
benchmark_raw_20260417_164245,49.72027847172153,1155.1,4389.46,6502.13,94.4304,4629.506175,18.08400821685791,0.180826488964,4634.056099,18.101780891418457,0.033485320120999994,144.457036,144.45703601837158,3.5292704558140002,144.323712,144.32371139526367,3.3115608594689996,5684.038599,22.203275680541992,0.160540922718,2443.109282,9.543395042419434,0.03302982498,407.94,31858.02,12821.09,6482.307000000001,10185.793181818182,9.5,GB/s,438.0,MB/s,0.9374176635651307
benchmark_raw_20260417_170425,48.898613493272435,1155.11,4389.75,6464.15,115.384,4596.090065,17.953475952148438,0.18205128523400002,4602.489959,17.97847557067871,0.033707682902,144.89517,144.89516925811768,3.431195479296,144.795173,144.79517269134521,3.3780520164589998,5721.154647,22.348259925842285,0.159349679636,2459.709005,9.608238220214844,0.03327213865899999,409.18,31844.77,12859.47,6506.475818181818,10167.786272727273,8.9,GB/s,442.0,MB/s,0.937476490487061
benchmark_raw_20260417_172627,49.06779007258552,1155.12,4389.45,6480.51,101.9213,4582.873619,17.9018497467041,0.18253010823799998,4589.623506,17.928215980529785,0.033865972703,138.145395,138.14539432525635,3.594075606225,138.628712,138.62871170043945,3.539877812094,5562.357294,21.727957725524902,0.164257887433,2389.260179,9.333046913146973,0.033380314974,407.87,31931.59,12783.56,6488.436545454545,10146.196363636363,9.1,GB/s,437.0,MB/s,0.9335324629870847
benchmark_raw_20260417_175026,49.176072989534305,1155.14,4389.87,6513.91,95.4598,4664.905585,18.22228717803955,0.17922053290300002,4668.905518,18.23791217803955,0.033355667836000004,146.545115,146.5451145172119,3.429202828386,146.461785,146.46178436279297,3.334532189235,5620.38966,21.954647064208984,0.162153268195,2415.126415,9.434086799621582,0.033644424595,408.03,31955.96,12774.38,6505.939727272727,10311.614545454546,9.4,GB/s,448.0,MB/s,0.8063423650591051
benchmark_raw_20260417_181207,48.932108741158,1155.06,4388.92,6509.91,110.5373,4581.056982,17.894753456115723,0.18300970261000002,4587.973534,17.92177104949951,0.033435299837,146.47601,146.47600936889648,3.399366498919,146.376015,146.37601375579834,3.3437626578620003,5643.755937,22.045921325683594,0.161731194932,2425.376244,9.474125862121582,0.03315773988,408.28,31768.9,12606.0,6490.984090909091,10187.691909090909,9.0,GB/s,438.0,MB/s,0.9373074644035553
