Run_ID,sysbench_cpu_single_eps,sysbench_cpu_multi_eps,stress_ng_cpu_bogo_ops_s,fractal_time_s,kernel_compile_time_s,sysbench_mem_read_mib_s,sysbench_mem_write_mib_s,mbw_memcpy_avg_mib_s,mbw_dumb_avg_mib_s,dd_read_speed,dd_read_unit,dd_write_speed,dd_write_unit,fio_rand_4k_read_iops,fio_rand_4k_read_bw_mib,fio_rand_4k_read_lat_ms,fio_rand_4k_write_iops,fio_rand_4k_write_bw_mib,fio_rand_4k_write_lat_ms,fio_seq_rw_read_iops,fio_seq_rw_read_bw_mib,fio_seq_rw_read_lat_ms,fio_seq_rw_write_iops,fio_seq_rw_write_bw_mib,fio_seq_rw_write_lat_ms,fio_mixed_70_30_read_iops,fio_mixed_70_30_read_bw_mib,fio_mixed_70_30_read_lat_ms,fio_mixed_70_30_write_iops,fio_mixed_70_30_write_bw_mib,fio_mixed_70_30_write_lat_ms,iperf_localhost_gbps,iperf_remote_gbps
benchmark_raw_20260416_182514,1127.78,4314.88,6243.41,111.3904,430.88,31726.17,12753.3,6198.656636363637,10165.746636363636,8.1,GB/s,685.0,MB/s,4431.409477,17.310193061828613,0.11030487729800001,4439.259346,17.340856552124023,0.111573866102,303.639879,303.63987827301025,1.423461001921,304.006533,304.0065326690674,1.7974488219940001,5575.873735,21.7807559967041,0.122993968026,2395.21008,9.35628890991211,0.125481795693,21.46947596765292,0.906643878271706
benchmark_raw_20260416_185824,1127.35,4317.31,6161.22,107.8952,429.05,31834.94,12774.34,6270.755272727273,10132.461818181819,8.1,GB/s,696.0,MB/s,3825.636239,14.943891525268555,0.128109001137,3826.452892,14.947081565856934,0.129403325496,406.369788,406.3697872161865,1.1368210100479998,404.9865,404.98649978637695,1.275900999383,4203.05,16.418163299560547,0.162993449677,1803.966667,7.046744346618652,0.166620684408,21.11946740485348,0.9047689058700326
benchmark_raw_20260416_192038,1125.88,4316.82,6245.73,106.7149,427.91,31815.17,12778.95,6191.9020909090905,10130.86490909091,8.0,GB/s,681.0,MB/s,2996.200063,11.703906059265137,0.16350390649399998,2989.566841,11.677994728088379,0.165719159023,345.171828,345.1718273162842,1.241860776882,345.571814,345.571813583374,1.583169200531,4299.39501,16.79451084136963,0.159287001954,1846.385894,7.212444305419922,0.162884152358,21.17520117455979,0.8208966048324253
benchmark_raw_20260416_194250,1127.98,4317.53,6160.68,120.8578,424.53,31844.09,12104.11,6121.689727272727,10080.132090909092,7.9,GB/s,676.0,MB/s,3658.922351,14.292664527893066,0.13391374277499998,3658.37236,14.29051685333252,0.135357862496,375.004167,375.00416564941406,1.075627673659,373.087564,373.0875635147095,1.530361276735,3206.533333,12.525520324707031,0.213545496128,1375.4,5.372655868530273,0.21881590547,21.657908953212722,0.817630983225202
benchmark_raw_20260416_200514,1127.69,4317.17,6261.53,112.1768,426.14,31713.11,11924.21,6259.7480000000005,10120.99109090909,7.7,GB/s,695.0,MB/s,4195.046749,16.386900901794434,0.11636994304899999,4197.480042,16.396406173706055,0.11810621502600001,830.169497,830.1694965362549,0.532190025356,825.452909,825.4529085159302,0.649798629381,3519.458009,13.747882843017578,0.194136676859,1513.158114,5.910773277282715,0.199910783349,20.91958014132205,0.9118290069693987
benchmark_raw_20260416_202729,1128.29,4318.44,6230.56,115.5578,426.59,31823.7,12106.42,6251.2868181818185,10120.712181818182,7.9,GB/s,728.0,MB/s,3605.02325,14.082121849060059,0.135889868755,3603.356611,14.075611114501953,0.137187168914,645.055916,645.0559148788452,0.67658250031,643.755937,643.7559366226196,0.842313327189,5446.642556,21.275946617126465,0.125643517968,2338.194363,9.13357162475586,0.128539436769,20.91510405188071,0.7973112092305653
benchmark_raw_20260416_204949,1128.05,4315.44,6233.69,116.182,427.92,31844.39,12688.44,6175.0936363636365,10176.743818181818,8.0,GB/s,601.0,MB/s,3343.810936,13.061760902404785,0.14611316840299998,3341.594307,13.053102493286133,0.148414263976,319.678005,319.67800521850586,1.349875619571,319.944668,319.9446668624878,1.707079536907,4464.925585,17.441115379333496,0.153085794938,1916.584724,7.486659049987793,0.15708430569499998,20.9320149499967,0.8216309771958309
benchmark_raw_20260416_211209,1126.29,4316.81,6343.54,108.7364,429.34,31830.15,12732.34,6274.514727272727,10087.512636363635,7.7,GB/s,591.0,MB/s,3306.194897,12.914823532104492,0.147869920741,3303.428276,12.904016494750977,0.150230022976,408.386387,408.3863868713379,0.9727655719070001,406.886437,406.88643646240234,1.412882258008,4822.902952,18.83946418762207,0.141825244548,2072.232129,8.094655990600586,0.14522615968000002,21.24132678766992,0.9038230869990493
benchmark_raw_20260416_213424,1127.6,4315.76,6224.6,120.8846,428.55,31135.69,12158.74,6273.262636363636,10144.511545454547,8.0,GB/s,599.0,MB/s,2750.920818,10.745783805847168,0.177810406639,2749.420843,10.739924430847168,0.180558519719,415.593073,415.59307289123535,0.952267198949,415.19308,415.1930799484253,1.389464196732,5262.562291,20.556883811950684,0.13023793046,2260.145664,8.828693389892578,0.132453268924,21.655024061318613,0.9061431503114965
benchmark_raw_20260416_215651,1127.63,4317.78,6263.18,125.2554,426.3,31842.67,12780.73,6261.271818181819,10098.144363636364,7.9,GB/s,597.0,MB/s,3372.143798,13.172435760498047,0.145621729578,3371.57714,13.170222282409668,0.14649394020700002,580.547315,580.5473146438599,0.7617843996379999,581.347288,581.3472881317139,0.922809458976,5209.696505,20.35037612915039,0.131432575788,2236.646056,8.736898422241211,0.13393916476,21.515830030467686,0.9083173371545815
