Host_OS,Platform,Isolation_Type,Test_Type,Iteration,Metric,Value,Unit,Timestamp,CPU_Pinning,Disk_Type,Provisioning_Type,Filesystem,Host_CPU_Usage,Guest_CPU_Usage
Windows Server 2025,VMware,VM,fio,1,mixed_70_30_read_bw,26.15,MB/s,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,fio,1,mixed_70_30_read_clat_mean_us,102.431,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,fio,1,mixed_70_30_read_clat_p99_us,140.288,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,fio,1,mixed_70_30_read_clat_p99_9_us,189.44,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,fio,1,mixed_70_30_write_iops,2877.09,iops,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,fio,1,mixed_70_30_write_bw,11.24,MB/s,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,fio,1,mixed_70_30_write_clat_mean_us,104.433,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,fio,1,mixed_70_30_write_clat_p99_us,142.336,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,fio,1,mixed_70_30_write_clat_p99_9_us,193.536,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,dd,1,dd_write_throughput,1200.0,MB/s,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,dd,1,dd_read_throughput,1400.0,MB/s,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,sysbench_memory,1,mem_write_bandwidth,11996.61,MiB/s,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,sysbench_memory,1,mem_write_ops_per_sec,12284523.62,ops/s,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,sysbench_memory,1,mem_read_bandwidth,30023.23,MiB/s,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,sysbench_memory,1,mem_read_ops_per_sec,30743782.8,ops/s,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,mbw,1,mbw_memcpy_bandwidth,6453.548,MiB/s,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,mbw,1,mbw_dumb_bandwidth,10301.272,MiB/s,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,mbw,1,mbw_mcblock_bandwidth,16874.077,MiB/s,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,stream,1,stream_copy_bandwidth,21627.4,MB/s,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,stream,1,stream_scale_bandwidth,13807.4,MB/s,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,stream,1,stream_add_bandwidth,15325.7,MB/s,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,stream,1,stream_triad_bandwidth,15309.5,MB/s,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,ioping,1,ioping_lat_min_us,209.2,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,ioping,1,ioping_lat_avg_us,895.4,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,ioping,1,ioping_lat_max_us,1220.0,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,ioping,1,ioping_lat_mdev_us,295.6,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,ioping,1,ioping_seek_iops,10600.0,iops,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,kernel_compile,1,elapsed_time,430.26,seconds,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,kernel_compile,1,cpu_percent,381,percent,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,kernel_compile,1,voluntary_ctx_switches,90992,count,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,kernel_compile,1,involuntary_ctx_switches,113960,count,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,kernel_compile,1,major_page_faults,138,count,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cpu_sample,1,7zip_cpu_busy_pct,89.97,percent,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,89.97
Windows Server 2025,VMware,VM,cgroup,1,7zip_cgroup_nr_throttled,0,count,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cgroup,1,7zip_cgroup_throttled_usec,0,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cpu_sample,1,fio_mixed_70_30_cpu_busy_pct,13.55,percent,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,13.55
Windows Server 2025,VMware,VM,cgroup,1,fio_mixed_70_30_cgroup_nr_throttled,0,count,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cgroup,1,fio_mixed_70_30_cgroup_throttled_usec,0,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cpu_sample,1,fio_rand_4k_cpu_busy_pct,11.95,percent,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,11.95
Windows Server 2025,VMware,VM,cgroup,1,fio_rand_4k_cgroup_nr_throttled,0,count,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cgroup,1,fio_rand_4k_cgroup_throttled_usec,0,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cpu_sample,1,fio_seq_rw_cpu_busy_pct,4.33,percent,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,4.33
Windows Server 2025,VMware,VM,cgroup,1,fio_seq_rw_cgroup_nr_throttled,0,count,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cgroup,1,fio_seq_rw_cgroup_throttled_usec,0,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cpu_sample,1,fractal_cpu_busy_pct,25.15,percent,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,25.15
Windows Server 2025,VMware,VM,cgroup,1,fractal_cgroup_nr_throttled,0,count,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cgroup,1,fractal_cgroup_throttled_usec,0,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cpu_sample,1,ioping_latency_cpu_busy_pct,4.85,percent,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,4.85
Windows Server 2025,VMware,VM,cgroup,1,ioping_latency_cgroup_nr_throttled,0,count,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cgroup,1,ioping_latency_cgroup_throttled_usec,0,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cpu_sample,1,ioping_seek_cpu_busy_pct,10.4,percent,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,10.4
Windows Server 2025,VMware,VM,cgroup,1,ioping_seek_cgroup_nr_throttled,0,count,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cgroup,1,ioping_seek_cgroup_throttled_usec,0,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cpu_sample,1,iperf3_localhost_cpu_busy_pct,31.48,percent,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,31.48
Windows Server 2025,VMware,VM,cgroup,1,iperf3_localhost_cgroup_nr_throttled,0,count,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cgroup,1,iperf3_localhost_cgroup_throttled_usec,0,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cpu_sample,1,iperf3_remote_tcp_cpu_busy_pct,11.73,percent,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,11.73
Windows Server 2025,VMware,VM,cgroup,1,iperf3_remote_tcp_cgroup_nr_throttled,0,count,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cgroup,1,iperf3_remote_tcp_cgroup_throttled_usec,0,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cpu_sample,1,iperf3_remote_udp_cpu_busy_pct,27.43,percent,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,27.43
Windows Server 2025,VMware,VM,cgroup,1,iperf3_remote_udp_cgroup_nr_throttled,0,count,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cgroup,1,iperf3_remote_udp_cgroup_throttled_usec,0,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cpu_sample,1,mbw_cpu_busy_pct,25.07,percent,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,25.07
Windows Server 2025,VMware,VM,cgroup,1,mbw_cgroup_nr_throttled,0,count,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cgroup,1,mbw_cgroup_throttled_usec,0,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cpu_sample,1,openssl_aes_cpu_busy_pct,25.14,percent,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,25.14
Windows Server 2025,VMware,VM,cgroup,1,openssl_aes_cgroup_nr_throttled,0,count,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cgroup,1,openssl_aes_cgroup_throttled_usec,0,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cpu_sample,1,openssl_rsa_cpu_busy_pct,25.14,percent,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,25.14
Windows Server 2025,VMware,VM,cgroup,1,openssl_rsa_cgroup_nr_throttled,0,count,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cgroup,1,openssl_rsa_cgroup_throttled_usec,0,us,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,
Windows Server 2025,VMware,VM,cpu_sample,1,stream_cpu_busy_pct,25.22,percent,20260720_154645,0-3,pvscsi,thin,ext2/ext3,,25.22
