Host_OS,Platform,Isolation_Type,Test_Type,Metric,Unit,n,mean,median,stdev,cv_pct,min,max,overhead_pct_vs_baremetal,efficiency_ratio_pct
Windows Server 2025,VMware,VM,fio,seq_rw_read_clat_p99_9_us,us,10,1247.232,1245.184,115.2272,9.24,1011.712,1417.216,,
Windows Server 2025,VMware,VM,fio,seq_rw_read_clat_p99_us,us,10,879.8208,872.448,61.6006,7.0,806.912,962.56,,
Windows Server 2025,VMware,VM,fio,seq_rw_read_iops,iops,10,670.675,673.235,32.1876,4.8,622.56,714.87,,
Windows Server 2025,VMware,VM,fio,seq_rw_write_bw,MB/s,10,668.584,671.48,30.434,4.55,622.37,709.37,,
Windows Server 2025,VMware,VM,fio,seq_rw_write_clat_mean_us,us,10,748.4137,744.0385,35.1106,4.69,704.575,803.247,,
Windows Server 2025,VMware,VM,fio,seq_rw_write_clat_p99_9_us,us,10,1376.256,1327.104,228.7575,16.62,1138.688,1875.968,,
Windows Server 2025,VMware,VM,fio,seq_rw_write_clat_p99_us,us,10,890.4704,884.736,51.782,5.82,823.296,962.56,,
Windows Server 2025,VMware,VM,fio,seq_rw_write_iops,iops,10,668.585,671.485,30.4336,4.55,622.37,709.37,,
Windows Server 2025,VMware,VM,fractal_mandelbrot,runtime,seconds,10,106.9391,106.5534,2.0293,1.9,104.5467,112.174,,
Windows Server 2025,VMware,VM,ioping,ioping_lat_avg_us,us,10,946.36,942.2,80.0854,8.46,840.9,1110.0,,
Windows Server 2025,VMware,VM,ioping,ioping_lat_max_us,us,10,1365.87,1195.0,561.5448,41.11,998.7,2940.0,,
Windows Server 2025,VMware,VM,ioping,ioping_lat_mdev_us,us,10,253.54,232.5,133.0199,52.47,77.3,593.7,,
Windows Server 2025,VMware,VM,ioping,ioping_lat_min_us,us,10,320.18,272.35,170.2732,53.18,209.2,795.6,,
Windows Server 2025,VMware,VM,ioping,ioping_seek_iops,iops,10,11090.0,11250.0,417.5324,3.76,10500.0,11600.0,,
Windows Server 2025,VMware,VM,iperf3,localhost_recv_gbps,Gbps,10,22.5506,22.4627,0.6832,3.03,21.5464,23.5906,,
Windows Server 2025,VMware,VM,iperf3,localhost_retransmits,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,iperf3,localhost_send_gbps,Gbps,10,22.551,22.4631,0.6833,3.03,21.5467,23.591,,
Windows Server 2025,VMware,VM,iperf3,remote_tcp_recv_gbps,Gbps,10,0.9332,0.9341,0.0027,0.29,0.9256,0.9343,,
Windows Server 2025,VMware,VM,iperf3,remote_tcp_retransmits,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,
Windows Server 2025,VMware,VM,iperf3,remote_tcp_send_gbps,Gbps,10,0.9362,0.9368,0.0022,0.23,0.93,0.9372,,
Windows Server 2025,VMware,VM,iperf3,remote_udp_jitter_ms,ms,10,0.0123,0.0111,0.0052,42.34,0.0078,0.0262,,
Windows Server 2025,VMware,VM,iperf3,remote_udp_lost_pct,percent,10,0.4031,0.3742,0.2508,62.23,0.0979,0.7913,,
Windows Server 2025,VMware,VM,iperf3,remote_udp_recv_gbps,Gbps,10,0.5609,0.5578,0.0094,1.68,0.5495,0.5788,,
Windows Server 2025,VMware,VM,iperf3,remote_udp_send_gbps,Gbps,10,0.5642,0.5615,0.0097,1.72,0.5534,0.5814,,
Windows Server 2025,VMware,VM,iperf3,remote_udp_udp_gbps,Gbps,10,0.5642,0.5615,0.0097,1.72,0.5534,0.5814,,
Windows Server 2025,VMware,VM,kernel_compile,cpu_percent,percent,10,382.0,382.0,0.4714,0.12,381.0,383.0,,
Windows Server 2025,VMware,VM,kernel_compile,elapsed_time,seconds,10,427.346,427.305,1.7623,0.41,424.17,430.26,,
Windows Server 2025,VMware,VM,kernel_compile,involuntary_ctx_switches,count,10,112315.3,112171.5,925.5346,0.82,110673.0,113960.0,,
Windows Server 2025,VMware,VM,kernel_compile,major_page_faults,count,10,143.3,145.0,7.0087,4.89,133.0,152.0,,
Windows Server 2025,VMware,VM,kernel_compile,voluntary_ctx_switches,count,10,90800.1,90808.5,201.9997,0.22,90464.0,91166.0,,
Windows Server 2025,VMware,VM,mbw,mbw_dumb_bandwidth,MiB/s,10,10288.1849,10304.216,95.9242,0.93,10041.578,10403.332,,
Windows Server 2025,VMware,VM,mbw,mbw_mcblock_bandwidth,MiB/s,10,17331.0025,17255.23,618.388,3.57,16574.729,18618.317,,
