Host_OS,Platform,Isolation_Type,Test_Type,Metric,Unit,n,mean,median,stdev,cv_pct,min,max,overhead_pct_vs_baremetal,efficiency_ratio_pct,n_trimmed,trimmed_mean,trimmed_median,trimmed_stdev,trimmed_cv_pct,trimmed_overhead_pct,trimmed_efficiency_ratio_pct,iqr_outliers
Ubuntu 24.04 LTS,VirtualBox,VM,stream,stream_triad_bandwidth,MB/s,10,15151.49,15127.65,56.7932,0.37,15097.3,15245.4,0.69,99.31,8,15146.525,15127.65,49.3911,0.33,0.78,99.22,0
Ubuntu 24.04 LTS,VirtualBox,VM,stress_ng,cpu_bogo_ops,count,10,766834.0,767596.0,6575.7297,0.86,757501.0,776344.0,-2.79,102.79,8,766811.875,767596.0,5498.2216,0.72,-2.79,102.79,0
Ubuntu 24.04 LTS,VirtualBox,VM,stress_ng,cpu_bogo_per_sec_cpu,ops/s,10,1597.96,1599.56,13.7029,0.86,1578.5,1617.79,-2.81,102.81,8,1597.9137,1599.56,11.4517,0.72,-2.81,102.81,0
Ubuntu 24.04 LTS,VirtualBox,VM,stress_ng,cpu_bogo_per_sec_real,ops/s,10,6390.205,6396.53,54.8167,0.86,6312.37,6469.48,-2.79,102.79,8,6390.025,6396.53,45.8269,0.72,-2.79,102.79,0
Ubuntu 24.04 LTS,VirtualBox,VM,stress_ng,cpu_sys_time,seconds,10,0.035,0.03,0.0118,33.67,0.02,0.05,191.67,291.67,8,0.035,0.03,0.0107,30.54,180.0,280.0,0
Ubuntu 24.04 LTS,VirtualBox,VM,stress_ng,cpu_usr_time,seconds,10,479.849,479.85,0.016,0.0,479.83,479.87,-0.03,99.97,8,479.8487,479.85,0.0146,0.0,-0.03,99.97,0
Ubuntu 24.04 LTS,VirtualBox,VM,stress_ng,switch_bogo_ops,count,10,159443559.5,159397012.5,1411054.2534,0.88,156993705.0,161651860.0,-42.88,142.88,8,159473753.75,159397012.5,1002425.2907,0.63,-43.04,143.04,0
Ubuntu 24.04 LTS,VirtualBox,VM,stress_ng,switch_bogo_per_sec_cpu,ops/s,10,335990.236,336002.685,1331.9251,0.4,333427.21,338294.18,-44.52,144.52,8,336022.6213,336002.685,763.5041,0.23,-44.66,144.66,0
Ubuntu 24.04 LTS,VirtualBox,VM,stress_ng,switch_bogo_per_sec_real,ops/s,10,1328693.146,1328304.82,11759.5612,0.89,1308276.41,1347096.92,-42.88,142.88,8,1328944.7662,1328304.82,8354.1009,0.63,-43.04,143.04,0
Ubuntu 24.04 LTS,VirtualBox,VM,stress_ng,switch_sys_time,seconds,10,366.503,366.935,4.6768,1.28,358.18,373.87,-10.48,89.52,8,366.6225,366.935,3.2335,0.88,-10.45,89.55,0
Ubuntu 24.04 LTS,VirtualBox,VM,stress_ng,switch_usr_time,seconds,10,108.043,108.71,2.2608,2.09,104.73,110.7,53.13,153.13,8,108.125,108.71,1.9969,1.85,53.26,153.26,0
Ubuntu 24.04 LTS,VirtualBox,VM,sysbench_cpu,cpu_multi_events_per_sec,events/s,10,4359.573,4359.57,0.2878,0.01,4359.24,4360.18,11.25,88.75,8,4359.5387,4359.57,0.1914,0.0,11.26,88.74,0
Ubuntu 24.04 LTS,VirtualBox,VM,sysbench_cpu,cpu_multi_latency_avg,ms,10,0.92,0.92,0.0,0.0,0.92,0.92,13.58,113.58,8,0.92,0.92,0.0,0.0,13.58,113.58,0
