Host_OS,Platform,Isolation_Type,Test_Type,Metric,Unit,n,mean,median,stdev,cv_pct,min,max,overhead_pct_vs_baremetal,efficiency_ratio_pct,n_trimmed,trimmed_mean,trimmed_median,trimmed_stdev,trimmed_cv_pct,trimmed_overhead_pct,trimmed_efficiency_ratio_pct,iqr_outliers
Windows Server 2025,Docker-WSL2-v7,Container,sysbench_cpu,cpu_multi_latency_p95,ms,10,0.94,0.94,0.0,0.0,0.94,0.94,0.0,100.0,8,0.94,0.94,0.0,0.0,0.0,100.0,0
Windows Server 2025,Docker-WSL2-v7,Container,sysbench_cpu,cpu_single_events_per_sec,events/s,10,1136.002,1136.14,1.4244,0.13,1133.1,1137.74,-0.08,100.08,8,1136.1475,1136.14,0.9745,0.09,-0.1,100.1,0
Windows Server 2025,Docker-WSL2-v7,Container,sysbench_cpu,cpu_single_latency_avg,ms,10,0.88,0.88,0.0,0.0,0.88,0.88,0.0,100.0,8,0.88,0.88,0.0,0.0,0.0,100.0,0
Windows Server 2025,Docker-WSL2-v7,Container,sysbench_cpu,cpu_single_latency_max,ms,10,10.338,10.355,2.2178,21.45,6.57,13.69,-3.91,96.09,8,10.39,10.355,1.6393,15.78,-2.1,97.9,0
Windows Server 2025,Docker-WSL2-v7,Container,sysbench_cpu,cpu_single_latency_p95,ms,10,0.9,0.9,0.0,0.0,0.9,0.9,0.0,100.0,8,0.9,0.9,0.0,0.0,0.0,100.0,0
Windows Server 2025,Docker-WSL2-v7,Container,sysbench_memory,mem_read_bandwidth,MiB/s,10,29238.503,29248.19,141.1716,0.48,29056.04,29526.59,4.26,95.74,8,29225.3,29248.19,93.8718,0.32,4.38,95.62,0
Windows Server 2025,Docker-WSL2-v7,Container,sysbench_memory,mem_read_ops_per_sec,ops/s,10,29940227.717,29950149.72,144559.8214,0.48,29753384.36,30235226.66,4.26,95.74,8,29926708.2688,29950149.72,96125.5558,0.32,4.38,95.62,0
Windows Server 2025,Docker-WSL2-v7,Container,sysbench_memory,mem_write_bandwidth,MiB/s,10,12374.808,12377.05,90.3484,0.73,12185.56,12530.19,1.1,98.9,8,12379.0413,12377.05,43.6935,0.35,1.23,98.77,2
Windows Server 2025,Docker-WSL2-v7,Container,sysbench_memory,mem_write_ops_per_sec,ops/s,10,12671802.916,12674099.49,92517.8947,0.73,12478009.27,12830912.75,1.1,98.9,8,12676138.3925,12674099.49,44743.3317,0.35,1.23,98.77,2
Windows Server 2025,Hyper-V,VM,7zip,total_rating,MIPS,10,16837.2,16880.5,133.6902,0.79,16588.0,16966.0,25.93,74.07,8,16852.25,16880.5,107.1418,0.64,25.92,74.08,2
Windows Server 2025,Hyper-V,VM,cgroup,7zip_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
